timestamp,equipment_id,Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in)
2019-08-18 00:00:00,CHILLER-01,85.6,31.4,479.6,116.2,82.0,75.0,79.0,13.0,29.83
2019-08-18 00:30:00,CHILLER-01,84.3,31.1,460.3,114.5,82.0,75.0,79.0,12.0,29.83
2019-08-18 01:00:00,CHILLER-01,84.6,31.3,462.4,116.8,82.0,75.0,79.0,12.0,29.83
2019-08-18 01:30:00,CHILLER-01,84.8,31.4,458.5,117.0,82.0,75.0,79.0,12.0,29.83
2019-08-18 02:00:00,CHILLER-01,84.7,31.4,455.4,117.0,82.0,75.0,79.0,12.0,29.83
2019-08-18 02:30:00,CHILLER-01,84.4,31.4,454.3,116.7,82.0,77.0,84.0,12.0,29.83
2019-08-18 03:00:00,CHILLER-01,86.4,31.5,466.1,119.0,82.0,75.0,79.0,12.0,29.83
2019-08-18 03:30:00,CHILLER-01,89.1,31.8,477.4,122.6,82.0,77.0,84.0,9.0,29.83
2019-08-18 04:00:00,CHILLER-01,89.1,31.8,473.3,122.2,82.0,77.0,84.0,10.0,29.8
2019-08-18 04:30:00,CHILLER-01,89.3,31.9,478.8,123.3,82.0,77.0,84.0,12.0,29.8
2019-08-18 05:00:00,CHILLER-01,87.5,31.9,471.9,121.8,82.0,77.0,84.0,12.0,29.8
2019-08-18 05:30:00,CHILLER-01,84.7,31.6,456.1,117.4,82.0,77.0,84.0,10.0,29.83
2019-08-18 06:00:00,CHILLER-01,84.5,31.6,458.2,117.6,82.0,77.0,84.0,10.0,29.83
2019-08-18 06:30:00,CHILLER-01,84.4,31.5,460.1,117.8,82.0,75.0,79.0,10.0,29.83
2019-08-18 07:00:00,CHILLER-01,88.4,31.8,487.6,121.9,82.0,75.0,79.0,10.0,29.86
2019-08-18 07:30:00,CHILLER-01,96.2,32.6,551.9,130.1,82.0,77.0,84.0,10.0,29.86
2019-08-18 08:00:00,CHILLER-01,98.0,32.8,569.2,129.5,84.0,77.0,79.0,13.0,29.86
2019-08-18 08:30:00,CHILLER-01,95.2,32.6,559.3,124.8,86.0,77.0,74.0,12.0,29.89
2019-08-18 09:00:00,CHILLER-01,95.8,32.7,561.9,125.7,86.0,77.0,74.0,12.0,29.89
2019-08-18 09:30:00,CHILLER-01,97.6,32.8,576.0,129.9,88.0,77.0,70.0,10.0,29.89
2019-08-18 10:00:00,CHILLER-01,96.8,33.0,575.8,130.3,88.0,77.0,70.0,10.0,29.89
2019-08-18 10:30:00,CHILLER-01,99.2,33.4,596.7,136.8,88.0,77.0,70.0,12.0,29.89
2019-08-18 11:00:00,CHILLER-01,102.8,33.7,611.8,143.4,90.0,75.0,62.0,10.0,29.86
2019-08-18 11:30:00,CHILLER-01,102.6,33.4,602.6,139.2,91.0,72.0,52.0,14.0,29.86
2019-08-18 12:00:00,CHILLER-01,102.1,33.3,595.9,137.7,90.0,72.0,55.0,12.0,29.86
2019-08-18 12:30:00,CHILLER-01,100.7,32.9,582.2,132.0,90.0,72.0,55.0,12.0,29.86
2019-08-18 13:00:00,CHILLER-01,100.2,32.8,578.8,130.5,91.0,72.0,52.0,10.0,29.83
2019-08-18 13:30:00,CHILLER-01,100.5,33.0,582.9,133.9,90.0,70.0,52.0,13.0,29.83
2019-08-18 14:00:00,CHILLER-01,100.0,32.9,581.2,130.5,91.0,70.0,49.0,14.0,29.8
2019-08-18 14:30:00,CHILLER-01,100.4,33.2,586.6,134.6,91.0,68.0,46.0,14.0,29.8
2019-08-18 15:00:00,CHILLER-01,100.4,33.2,590.4,134.7,91.0,59.0,34.0,17.0,29.8
2019-08-18 15:30:00,CHILLER-01,99.0,32.3,564.2,125.1,91.0,63.0,38.0,15.0,29.8
2019-08-18 16:00:00,CHILLER-01,97.9,31.7,551.6,118.9,90.0,68.0,49.0,16.0,29.8
2019-08-18 16:30:00,CHILLER-01,96.8,31.3,540.1,114.2,90.0,70.0,52.0,15.0,29.77
2019-08-18 17:00:00,CHILLER-01,96.8,31.1,533.5,112.0,88.0,70.0,55.0,16.0,29.77
2019-08-18 17:30:00,CHILLER-01,96.6,31.5,537.8,114.7,88.0,68.0,52.0,15.0,29.8
2019-08-18 18:00:00,CHILLER-01,96.3,31.4,529.4,113.8,88.0,66.0,49.0,14.0,29.8
2019-08-18 18:30:00,CHILLER-01,96.0,31.5,533.0,114.1,86.0,72.0,62.0,13.0,29.8
2019-08-18 19:00:00,CHILLER-01,93.2,31.5,518.7,114.9,84.0,72.0,66.0,12.0,29.8
2019-08-18 19:30:00,CHILLER-01,90.4,31.0,496.9,116.2,84.0,73.0,70.0,12.0,29.8
2019-08-18 20:00:00,CHILLER-01,90.2,31.1,503.7,111.3,84.0,73.0,70.0,12.0,29.83
2019-08-18 20:30:00,CHILLER-01,90.1,31.0,502.6,111.0,84.0,73.0,70.0,10.0,29.83
2019-08-18 21:00:00,CHILLER-01,88.7,30.4,485.5,105.8,82.0,75.0,79.0,10.0,29.86
2019-08-18 21:30:00,CHILLER-01,88.6,30.3,476.0,110.2,82.0,73.0,74.0,9.0,29.86
2019-08-18 22:00:00,CHILLER-01,91.7,31.0,504.4,116.1,82.0,73.0,74.0,9.0,29.86
2019-08-18 22:30:00,CHILLER-01,93.9,31.4,519.1,113.6,82.0,75.0,79.0,8.0,29.86
2019-08-18 23:00:00,CHILLER-01,93.9,31.3,517.2,112.7,82.0,75.0,79.0,7.0,29.86
2019-08-18 23:30:00,CHILLER-01,93.8,31.3,517.3,112.1,82.0,73.0,74.0,7.0,29.89
2019-08-19 00:00:00,CHILLER-01,89.3,30.9,481.5,110.0,82.0,73.0,74.0,9.0,29.89
2019-08-19 00:30:00,CHILLER-01,82.2,30.1,429.2,104.5,82.0,73.0,74.0,8.0,29.86
2019-08-19 01:00:00,CHILLER-01,83.0,30.4,435.5,106.9,82.0,75.0,79.0,8.0,29.86
2019-08-19 01:30:00,CHILLER-01,82.9,30.5,434.0,108.0,82.0,73.0,74.0,9.0,29.86
2019-08-19 02:00:00,CHILLER-01,82.7,30.4,428.2,105.6,82.0,73.0,74.0,7.0,29.86
2019-08-19 02:30:00,CHILLER-01,82.4,30.1,423.9,103.7,82.0,73.0,74.0,8.0,29.86
2019-08-19 03:00:00,CHILLER-01,84.5,30.1,434.9,104.1,81.0,73.0,79.0,8.0,29.86
2019-08-19 03:30:00,CHILLER-01,87.0,30.3,445.7,108.1,81.0,73.0,79.0,7.0,29.83
2019-08-19 04:00:00,CHILLER-01,86.8,30.3,439.3,107.5,81.0,75.0,84.0,6.0,29.83
2019-08-19 04:30:00,CHILLER-01,87.0,30.3,442.1,107.7,81.0,75.0,84.0,6.0,29.83
2019-08-19 05:00:00,CHILLER-01,87.3,30.4,446.0,108.7,82.0,75.0,79.0,6.0,29.83
2019-08-19 05:30:00,CHILLER-01,88.9,30.8,471.9,114.7,82.0,75.0,79.0,7.0,29.86
2019-08-19 06:00:00,CHILLER-01,88.6,30.9,466.7,114.5,82.0,75.0,79.0,7.0,29.86
2019-08-19 06:30:00,CHILLER-01,92.7,31.4,514.0,120.0,82.0,75.0,79.0,7.0,29.86
2019-08-19 07:00:00,CHILLER-01,102.1,32.2,581.9,129.8,82.0,75.0,79.0,8.0,29.86
2019-08-19 07:30:00,CHILLER-01,125.7,30.5,756.9,208.8,82.0,75.0,79.0,7.0,29.86
2019-08-19 08:00:00,CHILLER-01,118.9,29.8,679.8,178.7,82.0,73.0,74.0,9.0,29.86
2019-08-19 08:30:00,CHILLER-01,114.3,29.8,669.0,174.4,84.0,75.0,74.0,8.0,29.89
2019-08-19 09:00:00,CHILLER-01,112.9,29.8,661.4,173.8,84.0,75.0,74.0,8.0,29.89
2019-08-19 09:30:00,CHILLER-01,114.6,30.0,658.9,172.5,84.0,75.0,74.0,9.0,29.89
2019-08-19 10:00:00,CHILLER-01,117.5,30.3,665.3,172.9,86.0,73.0,66.0,10.0,29.89
2019-08-19 10:30:00,CHILLER-01,119.1,30.5,687.6,179.1,86.0,72.0,62.0,10.0,29.89
2019-08-19 11:00:00,CHILLER-01,119.7,30.5,683.9,177.5,88.0,72.0,58.0,10.0,29.89
2019-08-19 11:30:00,CHILLER-01,120.2,30.2,674.5,173.9,90.0,72.0,55.0,9.0,29.86
2019-08-19 12:00:00,CHILLER-01,120.1,30.2,671.7,174.0,90.0,72.0,55.0,6.0,29.86
2019-08-19 12:30:00,CHILLER-01,119.3,30.1,663.8,171.9,90.0,72.0,55.0,7.0,29.83
2019-08-19 13:00:00,CHILLER-01,119.6,30.2,665.9,173.8,90.0,72.0,55.0,7.0,29.83
2019-08-19 13:30:00,CHILLER-01,119.3,30.0,663.8,170.9,90.0,70.0,52.0,6.0,29.8
2019-08-19 14:00:00,CHILLER-01,116.4,29.7,634.8,163.8,90.0,70.0,52.0,9.0,29.8
2019-08-19 14:30:00,CHILLER-01,92.0,30.6,586.2,127.1,90.0,70.0,52.0,7.0,29.8
2019-08-19 15:00:00,CHILLER-01,123.4,30.6,741.0,189.2,90.0,72.0,55.0,7.0,29.77
2019-08-19 15:30:00,CHILLER-01,120.3,30.1,673.9,173.7,90.0,72.0,55.0,9.0,29.77
2019-08-19 16:00:00,CHILLER-01,119.6,29.7,650.0,165.9,91.0,70.0,49.0,9.0,29.77
2019-08-19 16:30:00,CHILLER-01,118.9,29.7,657.8,167.5,91.0,68.0,46.0,7.0,29.77
2019-08-19 17:00:00,CHILLER-01,118.0,29.8,646.9,167.7,90.0,68.0,49.0,7.0,29.77
2019-08-19 17:30:00,CHILLER-01,116.6,29.5,646.7,163.8,90.0,68.0,49.0,9.0,29.77
2019-08-19 18:00:00,CHILLER-01,86.4,30.6,585.1,121.3,88.0,70.0,55.0,9.0,29.77
2019-08-19 18:30:00,CHILLER-01,116.9,29.8,692.8,178.1,88.0,70.0,55.0,7.0,29.77
2019-08-19 19:00:00,CHILLER-01,107.8,29.3,624.6,159.2,86.0,73.0,66.0,12.0,29.8
2019-08-19 19:30:00,CHILLER-01,84.3,30.0,515.0,104.8,86.0,73.0,66.0,12.0,29.8
2019-08-19 20:00:00,CHILLER-01,93.3,30.5,507.2,105.7,84.0,75.0,74.0,10.0,29.8
2019-08-19 20:30:00,CHILLER-01,93.8,31.3,532.4,114.0,84.0,73.0,70.0,12.0,29.83
2019-08-19 21:00:00,CHILLER-01,92.8,30.9,517.2,110.3,84.0,75.0,74.0,9.0,29.83
2019-08-19 21:30:00,CHILLER-01,92.9,31.9,535.3,117.1,84.0,77.0,79.0,9.0,29.83
2019-08-19 22:00:00,CHILLER-01,94.3,31.9,542.6,119.4,84.0,77.0,79.0,7.0,29.83
